kód	název	strom
2433	Specialisté v oblasti prodeje a nákupu produktů a služeb (kromě informačních a komunikačních technologií)	2/24/243/2433/
2434	Specialisté v oblasti prodeje a nákupu informačních a komunikačních technologií	2/24/243/2434/
2511	Systémoví analytici	2/25/251/2511/
2519	Specialisté v oblasti testování softwaru a příbuzní pracovníci	2/25/251/2519/
2514	Programátoři počítačových aplikací specialisté	2/25/251/2514/
2512	Vývojáři softwaru	2/25/251/2512/
2513	Vývojáři webu a multimédií	2/25/251/2513/
2521	Návrháři a správci databází	2/25/252/2521/
2522	Systémoví administrátoři, správci počítačových sítí	2/25/252/2522/
2523	Specialisté v oblasti počítačových sítí (kromě správců)	2/25/252/2523/
2529	Specialisté v oblasti bezpečnosti dat a příbuzní pracovníci	2/25/252/2529/
2611	Advokáti, státní zástupci a příbuzní pracovníci	2/26/261/2611/
2612	Soudci a příbuzní pracovníci	2/26/261/2612/
2619	Specialisté v oblasti práva a příbuzných oblastech jinde neuvedení	2/26/261/2619/
2621	Specialisté archiváři, kurátoři a správci památkových objektů	2/26/262/2621/
2622	Specialisté v knihovnách a v příbuzných oblastech	2/26/262/2622/
2635	Specialisté v sociální oblasti	2/26/263/2635/
2636	Specialisté v církevní oblasti a v příbuzných oblastech	2/26/263/2636/
2633	Filozofové, historici a politologové	2/26/263/2633/
2631	Specialisté v oblasti ekonomie	2/26/263/2631/
2632	Sociologové, antropologové a specialisté v příbuzných oborech	2/26/263/2632/
2634	Psychologové	2/26/263/2634/
2641	Spisovatelé a příbuzní pracovníci	2/26/264/2641/
2642	Redaktoři, novináři a příbuzní pracovníci	2/26/264/2642/
2643	Překladatelé, tlumočníci a jazykovědci	2/26/264/2643/
2653	Tanečníci a choreografové	2/26/265/2653/
2659	Výkonní umělci a příbuzní specialisté jinde neuvedení	2/26/265/2659/
2656	Moderátoři v rozhlasu, televizi a ostatní moderátoři	2/26/265/2656/
2654	Režiséři, dramaturgové, produkční a příbuzní specialisté	2/26/265/2654/
2652	Hudebníci, zpěváci a skladatelé	2/26/265/2652/
2651	Výtvarní umělci	2/26/265/2651/
2655	Herci	2/26/265/2655/
3117	Důlní a hutní technici a pracovníci v příbuzných oborech	3/31/311/3117/
3111	Technici v chemických a fyzikálních vědách (kromě chemického inženýrství)	3/31/311/3111/
3119	Technici v ostatních průmyslových oborech	3/31/311/3119/
3118	Technici kartografové, zeměměřiči a pracovníci v příbuzných oborech	3/31/311/3118/
3116	Technici v chemickém inženýrství a příbuzných oborech	3/31/311/3116/
3115	Strojírenští technici	3/31/311/3115/
3114	Technici elektronici	3/31/311/3114/
3112	Stavební technici	3/31/311/3112/
3113	Elektrotechnici a technici energetici	3/31/311/3113/
3121	Mistři a příbuzní pracovníci v oblasti těžby, hutní výroby a slévárenství	3/31/312/3121/
3122	Mistři a příbuzní pracovníci ve výrobě (kromě hutní výroby a slévárenství)	3/31/312/3122/
3123	Mistři a příbuzní pracovníci ve stavebnictví	3/31/312/3123/
3135	Operátoři velínů na zpracování kovů	3/31/313/3135/
3139	Operátoři velínů jinde neuvedení	3/31/313/3139/
3133	Operátoři velínů pro chemickou výrobu (kromě zpracování ropy a zemního plynu)	3/31/313/3133/
3131	Operátoři velínů na výrobu a rozvod elektrické energie a tepla	3/31/313/3131/
3134	Operátoři velínů pro zpracování ropy a zemního plynu	3/31/313/3134/
3132	Operátoři velínů spaloven, vodárenských a vodohospodářských zařízení	3/31/313/3132/
3141	Technici a laboranti v biologických a příbuzných oborech (kromě zdravotnických)	3/31/314/3141/
3142	Technici v oblasti zemědělství, rybářství a vodohospodářství (kromě úpravy a rozvodu vody)	3/31/314/3142/
3143	Technici v oblasti lesnictví a myslivosti	3/31/314/3143/
3155	Elektrotechnici řídících a navigačních zařízení letového provozu	3/31/315/3155/
3151	Lodní technici	3/31/315/3151/
3152	Lodní důstojníci a lodivodi	3/31/315/3152/
3153	Piloti, navigátoři a palubní technici	3/31/315/3153/
3154	Řídící letového provozu	3/31/315/3154/
3214	Odborní pracovníci v oblasti zubní techniky, ortotiky a protetiky	3/32/321/3214/
3213	Farmaceutičtí asistenti	3/32/321/3213/
3211	Technici a asistenti pro obsluhu lékařských zařízení	3/32/321/3211/
3212	Odborní laboranti a laboratorní asistenti v oblasti zdravotnictví	3/32/321/3212/
3221	Všeobecné sestry bez specializace	3/32/322/3221/
3222	Porodní asistentky bez specializace	3/32/322/3222/
3230	Odborní pracovníci v oblasti tradiční a alternativní medicíny	3/32/323/3230/
3240	Veterinární technici a asistenti	3/32/324/3240/
3259	Odborní pracovníci v oblasti zdravotnictví jinde neuvedení	3/32/325/3259/
3256	Praktické sestry	3/32/325/3256/
3257	Asistenti ochrany veřejného zdraví	3/32/325/3257/
3254	Odborní pracovníci v oblasti oční optiky	3/32/325/3254/
3253	Odborní pracovníci v oblasti komunitní zdravotní péče	3/32/325/3253/
3252	Technici pro lékařské záznamy a informace o zdravotním stavu	3/32/325/3252/
3251	Dentální hygienisti	3/32/325/3251/
3258	Zdravotničtí záchranáři	3/32/325/3258/
3255	Odborní pracovníci v oblasti rehabilitace	3/32/325/3255/
3311	Zprostředkovatelé finančních transakcí a finanční makléři	3/33/331/3311/
3312	Odborní pracovníci v oblasti peněžnictví	3/33/331/3312/
3313	Odborní pracovníci v oblasti účetnictví, ekonomiky a personalistiky	3/33/331/3313/
3314	Odborní pracovníci v oblasti matematiky, statistiky a pojistné matematiky	3/33/331/3314/
3315	Odhadci, zbožíznalci a likvidátoři	3/33/331/3315/
3323	Nákupčí	3/33/332/3323/
3324	Obchodní makléři	3/33/332/3324/
3322	Obchodní zástupci	3/33/332/3322/
3321	Odborní pracovníci v oblasti pojišťovnictví	3/33/332/3321/
3332	Organizátoři konferencí a událostí	3/33/333/3332/
3333	Odborní pracovníci úřadů práce a pracovních agentur	3/33/333/3333/
3334	Realitní makléři	3/33/333/3334/
3339	Zprostředkovatelé služeb jinde neuvedení	3/33/333/3339/
3331	Odbytoví a přepravní agenti, celní deklaranti	3/33/333/3331/
3341	Vedoucí v oblasti administrativních agend	3/33/334/3341/
3342	Odborní administrativní pracovníci v právní oblasti	3/33/334/3342/
3343	Odborní pracovníci v administrativě a správě organizace	3/33/334/3343/
3344	Odborní administrativní pracovníci v oblasti zdravotnictví	3/33/334/3344/
3355	Policejní inspektoři, komisaři a radové Policie ČR	3/33/335/3355/
3359	Pracovníci veřejné správy v oblasti státních regulací jinde neuvedení	3/33/335/3359/
3353	Pracovníci veřejné správy v oblasti sociálních a jiných dávek	3/33/335/3353/
3352	Pracovníci veřejné správy v oblasti daní	3/33/335/3352/
3351	Pracovníci Celní správy ČR	3/33/335/3351/
3354	Pracovníci veřejné správy vydávající různá povolení	3/33/335/3354/
3412	Odborní pracovníci v sociální oblasti	3/34/341/3412/
3413	Odborní pracovníci v církevní oblasti a v příbuzných oborech	3/34/341/3413/
3411	Odborní pracovníci v právní oblasti, bezpečnosti a v příbuzných oborech	3/34/341/3411/
3422	Sportovní trenéři, instruktoři a úředníci sportovních klubů	3/34/342/3422/
3423	Instruktoři a programoví vedoucí v rekreačních zařízeních a fitcentrech	3/34/342/3423/
3421	Atleti a ostatní profesionální sportovci	3/34/342/3421/
3432	Aranžéři a příbuzní pracovníci	3/34/343/3432/
3433	Konzervátoři, restaurátoři a preparátoři a příbuzní pracovníci v galeriích, muzeích a knihovnách	3/34/343/3433/
3434	Šéfkuchaři a šéfcukráři	3/34/343/3434/
3435	Ostatní odborní pracovníci v oblasti umění a kultury	3/34/343/3435/
3431	Fotografové	3/34/343/3431/
3511	Technici provozu informačních a komunikačních technologií, technici programátoři	3/35/351/3511/
3514	Správci webu	3/35/351/3514/
3512	Technici uživatelské podpory informačních a komunikačních technologií	3/35/351/3512/
3513	Technici počítačových sítí a systémů	3/35/351/3513/
3521	Technici v oblasti vysílání a audiovizuálních záznamů	3/35/352/3521/
3522	Technici v oblasti telekomunikací a radiokomunikací	3/35/352/3522/
4110	Všeobecní administrativní pracovníci	4/41/411/4110/
4120	Sekretáři (všeobecní)	4/41/412/4120/
4131	Pracovníci pro zpracování textů, písaři	4/41/413/4131/
4132	Pracovníci pro zadávání dat	4/41/413/4132/
4211	Pokladníci ve finančních institucích, na poštách a pracovníci v příbuzných oborech	4/42/421/4211/
4212	Bookmakeři, krupiéři a pracovníci v příbuzných oborech	4/42/421/4212/
4213	Zastavárníci a půjčovatelé peněz	4/42/421/4213/
4214	Inkasisté pohledávek a příbuzní pracovníci	4/42/421/4214/
4223	Operátoři telefonních panelů	4/42/422/4223/
4224	Recepční v hotelích a dalších ubytovacích zařízeních	4/42/422/4224/
4225	Pracovníci v informačních kancelářích	4/42/422/4225/
4226	Recepční (kromě recepčních v hotelích a dalších ubytovacích zařízeních)	4/42/422/4226/
4227	Tazatelé průzkumů	4/42/422/4227/
